sotre_id,store_type,store_size,department_id,date,month,weekly_sales
1,A,151315,1,2010-02-05,2,24924.5
1,A,151315,1,2010-02-12,2,46039.49
1,A,151315,1,2010-02-19,2,41595.55
1,A,151315,1,2010-02-26,2,19403.54
1,A,151315,1,2010-03-05,3,21827.9
1,A,151315,1,2010-03-12,3,21043.39
1,A,151315,1,2010-03-19,3,22136.64
1,A,151315,1,2010-03-26,3,26229.21
1,A,151315,1,2010-04-02,4,57258.43
1,A,151315,1,2010-04-09,4,42960.91
1,A,151315,1,2010-04-16,4,17596.96
1,A,151315,1,2010-04-23,4,16145.35
1,A,151315,1,2010-04-30,4,16555.11
1,A,151315,1,2010-05-07,5,17413.94
1,A,151315,1,2010-05-14,5,18926.74
1,A,151315,1,2010-05-21,5,14773.04
1,A,151315,1,2010-05-28,5,15580.43
1,A,151315,1,2010-06-04,6,17558.09
1,A,151315,1,2010-06-11,6,16637.62
1,A,151315,1,2010-06-18,6,16216.27
1,A,151315,1,2010-06-25,6,16328.72
1,A,151315,1,2010-07-02,7,16333.14
1,A,151315,1,2010-07-09,7,17688.76
1,A,151315,1,2010-07-16,7,17150.84
1,A,151315,1,2010-07-23,7,15360.45
1,A,151315,1,2010-07-30,7,15381.82
1,A,151315,1,2010-08-06,8,17508.41
1,A,151315,1,2010-08-13,8,15536.4
1,A,151315,1,2010-08-20,8,15740.13
1,A,151315,1,2010-08-27,8,15793.87
1,A,151315,1,2010-09-03,9,16241.78
1,A,151315,1,2010-09-10,9,18194.74
1,A,151315,1,2010-09-17,9,19354.23
1,A,151315,1,2010-09-24,9,18122.52
1,A,151315,1,2010-10-01,10,20094.19
1,A,151315,1,2010-10-08,10,23388.03
1,A,151315,1,2010-10-15,10,26978.34
1,A,151315,1,2010-10-22,10,25543.04
1,A,151315,1,2010-10-29,10,38640.93
1,A,151315,1,2010-11-05,11,34238.88
1,A,151315,1,2010-11-12,11,19549.39
1,A,151315,1,2010-11-19,11,19552.84
1,A,151315,1,2010-11-26,11,18820.29
1,A,151315,1,2010-12-03,12,22517.56
1,A,151315,1,2010-12-10,12,31497.65
1,A,151315,1,2010-12-17,12,44912.86
1,A,151315,1,2010-12-24,12,55931.23
1,A,151315,1,2010-12-31,12,19124.58
1,A,151315,1,2011-01-07,1,15984.24
1,A,151315,1,2011-01-14,1,17359.7
1,A,151315,1,2011-01-21,1,17341.47
1,A,151315,1,2011-01-28,1,18461.18
1,A,151315,1,2011-02-04,2,21665.76
1,A,151315,1,2011-02-11,2,37887.17
1,A,151315,1,2011-02-18,2,46845.87
1,A,151315,1,2011-02-25,2,19363.83
1,A,151315,1,2011-03-04,3,20327.61
1,A,151315,1,2011-03-11,3,21280.4
1,A,151315,1,2011-03-18,3,20334.23
1,A,151315,1,2011-03-25,3,20881.1
1,A,151315,1,2011-04-01,4,20398.09
1,A,151315,1,2011-04-08,4,23873.79
1,A,151315,1,2011-04-15,4,28762.37
1,A,151315,1,2011-04-22,4,50510.31
1,A,151315,1,2011-04-29,4,41512.39
1,A,151315,1,2011-05-06,5,20138.19
1,A,151315,1,2011-05-13,5,17235.15
1,A,151315,1,2011-05-20,5,15136.78
1,A,151315,1,2011-05-27,5,15741.6
1,A,151315,1,2011-06-03,6,16434.15
1,A,151315,1,2011-06-10,6,15883.52
1,A,151315,1,2011-06-17,6,14978.09
1,A,151315,1,2011-06-24,6,15682.81
1,A,151315,1,2011-07-01,7,15363.5
1,A,151315,1,2011-07-08,7,16148.87
1,A,151315,1,2011-07-15,7,15654.85
1,A,151315,1,2011-07-22,7,15766.6
1,A,151315,1,2011-07-29,7,15922.41
1,A,151315,1,2011-08-05,8,15295.55
1,A,151315,1,2011-08-12,8,14539.79
1,A,151315,1,2011-08-19,8,14689.24
1,A,151315,1,2011-08-26,8,14537.37
1,A,151315,1,2011-09-02,9,15277.27
1,A,151315,1,2011-09-09,9,17746.68
1,A,151315,1,2011-09-16,9,18535.48
1,A,151315,1,2011-09-23,9,17859.3
1,A,151315,1,2011-09-30,9,18337.68
1,A,151315,1,2011-10-07,10,20797.58
1,A,151315,1,2011-10-14,10,23077.55
1,A,151315,1,2011-10-21,10,23351.8
1,A,151315,1,2011-10-28,10,31579.9
1,A,151315,1,2011-11-04,11,39886.06
1,A,151315,1,2011-11-11,11,18689.54
1,A,151315,1,2011-11-18,11,19050.66
1,A,151315,1,2011-11-25,11,20911.25
1,A,151315,1,2011-12-02,12,25293.49
1,A,151315,1,2011-12-09,12,33305.92
1,A,151315,1,2011-12-16,12,45773.03
