17,17,FS-1418878,FED,FS-FIRESTAT,FS,USCAENF,"Eldorado National Forest",0503,"Eldorado National Forest",109,23,"",POWER,CA-ENF-017646,POWER,CA3850212028020041006,POWER,,2004,2453284.5,280,1415,2.0,"Equipment Use",2453299.5,295,1000,16823.0,G,38.52333333,-120.21166667,5.0,USFS,CA,5,005,Amador,""
18,18,FS-1418881,FED,FS-FIRESTAT,FS,USCAENF,"Eldorado National Forest",0503,"Eldorado National Forest",111,35,BHA3,FREDS,CA-ENF-18044,FREDS,CA3878712031820041013,FREDS,,2004,2453291.5,287,1618,2.0,"Equipment Use",2453295.5,291,1800,7700.0,G,38.78,-120.26,5.0,USFS,CA,17,017,"El Dorado",""
189,192,FS-1419313,FED,FS-FIRESTAT,FS,USAZTNF,"Tonto National Forest",0312,"Tonto National Forest",62,4,BVR2,THREE,AZ-TNF-105,"THREE FIRE COMPLEX",AZ3372311127120050621,"THREE FIRE COMPLEX (THREE)","THREE FIRE COMPLEX",2005,2453542.5,172,1400,1.0,Lightning,2453550.5,180,1800,16100.0,G,33.72333333,-111.275,5.0,USFS,AZ,7,007,Gila,""
549,556,FS-1420078,FED,FS-FIRESTAT,FS,USCASQF,"Sequoia National Forest",0513,"Sequoia National Forest",23,05,BZS6,NINE,CA-SQF-1857,NINE,CA3569311842220050709,NINE,,2005,2453560.5,190,1313,9.0,Miscellaneous,2453561.5,191,1800,1149.0,F,35.68805556,-118.43833333,5.0,USFS,CA,,,,""
583,590,FS-1420201,FED,FS-FIRESTAT,FS,USAZTNF,"Tonto National Forest",0312,"Tonto National Forest",111,7,B0PP,OAK,AZ-TNF-136,Oak,AZ3393311135020050716,OAK,,2005,2453567.5,197,1720,1.0,Lightning,2453571.5,201,1800,1300.0,F,33.93361111,-111.37972222,5.0,USFS,AZ,7,007,Gila,""
592,599,FS-1420230,FED,FS-FIRESTAT,FS,USAZTNF,"Tonto National Forest",0312,"Tonto National Forest",136,13,BEY6,"TW0 BAR",AZ-TNF-?,"Two Bar",AZ3355511110520050719,"TW0 BAR",,2005,2453570.5,200,1805,1.0,Lightning,2453576.5,206,1800,2093.0,F,33.55111111,-111.10666667,5.0,USFS,AZ,7,007,Gila,""
745,757,FS-1420538,FED,FS-FIRESTAT,FS,USMTCGF,"Custer Gallatin National Forest",0108,"Custer National Forest",2,04-05-01,BMV6,"SAWMILL GULCH",MT-CNF-010,"SAWMILL GULCH",MT4531510636420050404,"SAWMILL GULCH",,2005,2453465.5,95,1500,1.0,Lightning,2453469.5,99,1800,1199.0,F,45.30833333,-106.35833333,5.0,USFS,MT,87,087,Rosebud,""
1506,1520,FS-1422195,FED,FS-FIRESTAT,FS,USNMGNF,"Gila National Forest",0306,"Gila National Forest",21,05,BS5G,FORK,NM-GNF-021,"Fork WFU",NM3364710851120050529,"FORK WFU","NORTH GILA COMPLEX",2005,2453519.5,149,1505,1.0,Lightning,2453611.5,241,1159,11936.0,G,33.61333333,-108.55888889,5.0,USFS,NM,3,003,Catron,""
1587,1601,FS-1422365,FED,FS-FIRESTAT,FS,USMTCGF,"Custer Gallatin National Forest",0108,"Custer National Forest",23,04-05-11,B4UZ,"ERICKSON SPRING",MT-CNF-073,"ERICKSON SPRING",MT4544510596120050822,"ERICKSON SPRING",,2005,2453604.5,234,1935,1.0,Lightning,2453614.5,244,1600,2700.0,F,45.44833333,-105.95527778,5.0,USFS,MT,75,075,"Powder River",""
1589,1603,FS-1422367,FED,FS-FIRESTAT,FS,USCOPSF,"Pike and San Isabel National Forest",0212,"Pike San Isabel National Forest",51,004,BY23,MASON,CO-PSF-000683,MASON,CO3816010503620050706,MASON,,2005,2453558.5,188,0600,1.0,Lightning,2453567.5,197,2000,11357.0,G,38.16972222,-105.03805556,5.0,USFS,CO,,,,""
1805,1819,FS-1422802,FED,FS-FIRESTAT,FS,USORUMF,"Umatilla National Forest",0614,"Umatilla National Forest",26,610-159,B36W,"BURNT CABIN",OR-UMF-159,"Burnt Cabin",OR4582911805320050813,"BURNT CABIN",,2005,2453596.5,226,1209,9.0,Miscellaneous,2453624.5,254,1200,1977.0,F,45.84083333,-118.06777778,5.0,USFS,OR,59,059,Umatilla,""
1958,1973,FS-1423096,FED,FS-FIRESTAT,FS,USSDBKF,"Black Hills National Forest",0203,"Black Hills National Forest",36,3,BZV2,RICCO,SD-BKF-050505,RICCO,SD4421510341420050708,RICCO,,2005,2453559.5,189,2000,1.0,Lightning,2453585.5,215,1115,3959.0,F,44.19361111,-103.39388889,5.0,USFS,SD,93,093,Meade,""
1971,1986,FS-1423128,FED,FS-FIRESTAT,FS,USSDBKF,"Black Hills National Forest",0203,"Black Hills National Forest",44,8,B1RA,CEMENT,SD-BKF-050597,"South Sundance Complex",WY4434710418220050723,CEMENT,"SOUTH SUNDANCE COMPLEX",2005,2453574.5,204,1300,1.0,Lightning,2453578.5,208,1700,3025.0,F,44.37194444,-104.17416667,5.0,USFS,WY,11,011,Crook,""
3160,3178,FS-1425640,FED,FS-FIRESTAT,FS,USIDSCF,"Salmon-Challis National Forest",0413,"Salmon-Challis National Forest",39,0711,B3F6,"HALE GULCH",ID-SCF-000003,"Cadagan Complex",ID4538411422720050806,"CADAGAN COMPLEX (HALE GULCH)","CADAGAN COMPLEX",2005,2453588.5,218,2026,1.0,Lightning,2453605.5,235,2000,2643.0,F,45.38805556,-114.21,5.0,USFS,ID,59,059,Lemhi,""
3313,3331,FS-1425860,FED,FS-FIRESTAT,FS,USAZASF,"Apache-Sitgreaves National Forest",0301,"Apache-Sitgreaves National Forest",42,5,3014,"SNAKE RIDGE FIRE",AZ-ASF-000123,"SNAKE RIDGE",AZ3316410919320050621,"SNAKE RIDGE",,2005,2453543.5,173,1130,1.0,Lightning,2453555.5,185,1700,1900.0,F,33.16972222,-109.19055556,5.0,USFS,AZ,11,011,Greenlee,""
